t,ax,ay,az
0,-2.26,4.52,0.0
0.01,2.26,-11.299999999999999,9.04
0.02,-2.26,9.04,9.04
0.03,0.0,-6.779999999999999,31.639999999999997
0.04,-6.779999999999999,2.26,49.72
0.05,-9.04,-2.26,40.67999999999999
0.06,-6.779999999999999,6.779999999999999,54.239999999999995
0.07,0.0,-2.26,79.1
0.08,-2.26,2.26,45.199999999999996
0.09,2.26,11.299999999999999,51.98
0.1,0.0,-4.52,65.53999999999999
0.11,13.559999999999999,6.779999999999999,61.019999999999996
0.12,4.52,2.26,56.49999999999999
0.13,4.52,6.779999999999999,61.019999999999996
0.14,-2.26,11.299999999999999,54.239999999999995
0.15,4.52,4.52,63.279999999999994
0.16,9.04,6.779999999999999,65.53999999999999
0.17,2.26,-2.26,54.239999999999995
0.18,4.52,-4.52,56.49999999999999
0.19,4.52,2.26,61.019999999999996
0.2,-9.04,2.26,67.8
0.21,0.0,4.52,74.58
0.22,2.26,4.52,58.75999999999999
0.23,6.779999999999999,2.26,51.98
0.24,-11.299999999999999,11.299999999999999,58.75999999999999
0.25,6.779999999999999,-4.52,51.98
0.26,-6.779999999999999,6.779999999999999,54.239999999999995
0.27,-4.52,-6.779999999999999,58.75999999999999
0.28,4.52,0.0,51.98
0.29,-4.52,6.779999999999999,54.239999999999995
0.3,-4.52,11.299999999999999,65.53999999999999
0.31,0.0,6.779999999999999,67.8
0.32,4.52,9.04,61.019999999999996
0.33,-22.599999999999998,6.779999999999999,63.279999999999994
0.34,4.52,6.779999999999999,58.75999999999999
0.35000000000000003,4.52,15.819999999999999,51.98
0.36,-6.779999999999999,-2.26,54.239999999999995
0.37,0.0,6.779999999999999,47.459999999999994
0.38,9.04,0.0,54.239999999999995
0.39,6.779999999999999,-6.779999999999999,56.49999999999999
0.4,4.52,-9.04,61.019999999999996
0.41000000000000003,9.04,6.779999999999999,54.239999999999995
0.42,9.04,4.52,63.279999999999994
0.43,9.04,0.0,51.98
0.44,4.52,2.26,61.019999999999996
0.45,6.779999999999999,6.779999999999999,56.49999999999999
0.46,-11.299999999999999,11.299999999999999,61.019999999999996
0.47000000000000003,6.779999999999999,-4.52,54.239999999999995
0.48,4.52,4.52,58.75999999999999
0.49,-6.779999999999999,6.779999999999999,49.72
0.5,9.04,9.04,63.279999999999994
0.51,-4.52,4.52,72.32
0.52,6.779999999999999,-11.299999999999999,61.019999999999996
0.53,-2.26,-6.779999999999999,70.05999999999999
0.54,0.0,-2.26,54.239999999999995
0.55,-4.52,-2.26,56.49999999999999
0.56,-6.779999999999999,4.52,42.94
0.5700000000000001,4.52,-2.26,51.98
0.58,0.0,-6.779999999999999,51.98
0.59,-4.52,13.559999999999999,63.279999999999994
0.6,2.26,-4.52,65.53999999999999
0.61,2.26,2.26,56.49999999999999
0.62,-6.779999999999999,2.26,61.019999999999996
0.63,2.26,-4.52,56.49999999999999
0.64,0.0,13.559999999999999,49.72
0.65,0.0,4.52,63.279999999999994
0.66,4.52,-2.26,63.279999999999994
0.67,0.0,2.26,51.98
0.68,2.26,18.08,63.279999999999994
0.6900000000000001,4.52,2.26,65.53999999999999
0.7000000000000001,4.52,2.26,72.32
0.71,11.299999999999999,2.26,63.279999999999994
0.72,2.26,2.26,67.8
0.73,-6.779999999999999,2.26,58.75999999999999
0.74,-4.52,-2.26,70.05999999999999
0.75,11.299999999999999,2.26,58.75999999999999
0.76,-4.52,-4.52,61.019999999999996
0.77,-6.779999999999999,11.299999999999999,56.49999999999999
0.78,4.52,6.779999999999999,56.49999999999999
0.79,2.26,-9.04,63.279999999999994
0.8,-4.52,9.04,74.58
0.81,11.299999999999999,2.26,58.75999999999999
0.8200000000000001,2.26,11.299999999999999,61.019999999999996
0.8300000000000001,-9.04,2.26,65.53999999999999
0.84,0.0,11.299999999999999,70.05999999999999
0.85,2.26,6.779999999999999,61.019999999999996
0.86,6.779999999999999,0.0,56.49999999999999
0.87,-6.779999999999999,-2.26,51.98
0.88,15.819999999999999,0.0,51.98
0.89,2.26,15.819999999999999,51.98
0.9,2.26,9.04,70.05999999999999
0.91,-2.26,0.0,63.279999999999994
0.92,6.779999999999999,-2.26,61.019999999999996
0.93,0.0,9.04,61.019999999999996
0.9400000000000001,4.52,11.299999999999999,56.49999999999999
0.9500000000000001,-6.779999999999999,15.819999999999999,65.53999999999999
0.96,-4.52,4.52,58.75999999999999
