t,latitude,longitude,altitude
0,39.38997841923644,-8.289572495110825,106.69265194180802
0.01,39.390000769453124,-8.289529871812224,106.4545426084386
0.02,39.38999362089074,-8.289488706710065,107.90247265817524
0.03,39.3899963110501,-8.289512756741761,105.27331071025563
0.04,39.38998968312474,-8.28954412967946,110.10455410057598
0.05,39.390013015330716,-8.289555830481364,106.14362744494224
0.06,39.39000954990323,-8.289581795096224,110.11332164447465
0.07,39.390002296739645,-8.289543889812006,107.33354614057949
0.08,39.390016637023045,-8.289533792520883,110.89875846410484
0.09,39.390013082047936,-8.289528751331552,108.12131683990334
0.1,39.39001071672976,-8.289514572020492,104.82548842600158
0.11,39.389985676781485,-8.28953804362176,105.19858040974535
0.12,39.39001960525491,-8.289515292188849,107.57892416836694
0.13,39.38999750588837,-8.289568666957488,108.94368168951051
0.14,39.390006830774354,-8.289579091131227,108.18645399125086
0.15,39.39000569562176,-8.28954459364517,106.4021927609743
0.16,39.389983692025545,-8.289491355775311,109.67125599086447
0.17,39.38999001919683,-8.289588455327433,107.34516244394177
0.18,39.389968958934794,-8.28952861171808,110.12387393989167
0.19,39.390019641931325,-8.289548492460023,108.21147882467548
0.2,39.39000223430208,-8.289504574822672,107.66285589106546
0.21,39.389994277030816,-8.289499331207292,107.90778634733357
0.22,39.3900024361819,-8.289536703232802,106.45703804598358
0.23,39.389991632184305,-8.289531807445917,106.72657913006468
0.24,39.389980966781465,-8.28956459075671,107.50002810586194
0.25,39.390030144605326,-8.289518830879107,106.45229755210136
0.26,39.390002681573776,-8.289575429022209,109.70417658402816
0.27,39.39001665808418,-8.289532691642975,108.14432188146748
0.28,39.39002292585158,-8.289524342293783,108.14326737762885
0.29,39.38999149267363,-8.289534064290741,106.20301186084572
0.3,39.39001728052941,-8.289553514417275,113.71828852738294
0.31,39.39000719619638,-8.289519903644196,109.14300784995679
0.32,39.38999844025599,-8.289536340627878,109.83468665001189
0.33,39.39002577180366,-8.28958010437966,113.44660991440885
0.34,39.39000662591307,-8.289540777852883,107.38835301559382
0.35000000000000003,39.39000199902139,-8.289543875273756,113.59667595190463
0.36,39.390011930543324,-8.289528676342885,109.69839056572732
0.37,39.38997264928987,-8.28954050193093,106.92954939828054
0.38,39.390033731094185,-8.289501875441296,108.68802374028454
0.39,39.39003056070281,-8.289532353688942,112.82245649860853
0.4,39.38998953470939,-8.289552412961354,111.60484334638693
0.41000000000000003,39.39001680609037,-8.289568658883157,112.17151373296807
0.42,39.38999277164937,-8.289579707108636,112.08354255815028
0.43,39.38998735023252,-8.289462365286788,112.04079905335337
0.44,39.38999939376897,-8.289549836187835,116.45665101470219
0.45,39.39001593708038,-8.289522235857026,111.22355139442276
0.46,39.39002739581181,-8.289509384531305,109.54916089416831
0.47000000000000003,39.39000408817985,-8.289555908194506,114.4502065085589
0.48,39.38998628609449,-8.289536199235728,111.3147446683317
0.49,39.39004609693482,-8.289545786491676,116.61769534271191
0.5,39.39001163220215,-8.289538274011765,110.15933563212147
0.51,39.39002592322284,-8.289577810609572,112.16362816482078
0.52,39.39004228799795,-8.289506826940642,110.65959919085422
0.53,39.39001390553006,-8.289509865126872,113.94480649321017
0.54,39.38998161930123,-8.289532758225832,114.55421008148183
0.55,39.3900098410108,-8.289506807981986,114.45328755328745
0.56,39.39004007790201,-8.289521411728296,115.50396401502921
0.5700000000000001,39.39000343405515,-8.289518368968466,117.79210362462514
0.58,39.39003863178283,-8.289557435984426,116.15278732957245
0.59,39.390033808821265,-8.289552839292485,116.53672085886386
0.6,39.389985228240306,-8.289489702797479,116.52249852002042
0.61,39.39001326404439,-8.28956718844975,119.29342653780529
0.62,39.39001191962139,-8.289558792631428,116.0417591611996
0.63,39.39006896650072,-8.289514866802149,120.70329930461897
0.64,39.39001262894305,-8.289555112746063,119.26622246390721
0.65,39.38998410504025,-8.289552957872132,115.62770875664083
0.66,39.390001403518276,-8.28953768688032,120.95490265399195
0.67,39.39002415280338,-8.289545612474848,120.56272396941728
0.68,39.39004635855633,-8.289512588770213,122.44555645952057
0.6900000000000001,39.39004116950641,-8.28956561906207,119.75300307586922
0.7000000000000001,39.39001987106694,-8.2895184977831,121.19754328961704
0.71,39.3900467523933,-8.289533405647733,118.85115242072006
0.72,39.38999312522851,-8.289530568842169,120.8829764131026
0.73,39.39004147110566,-8.289526838135785,121.00985724528218
0.74,39.39003693638041,-8.289492472148016,122.51317743500535
0.75,39.389996210341984,-8.289529424119213,120.28507965929055
0.76,39.390033564791786,-8.289524498914641,124.994778787488
0.77,39.390022494583725,-8.28954562356539,119.89328429875357
0.78,39.39005465870555,-8.289537449684218,124.10164357258365
0.79,39.39004186400524,-8.289543686864121,124.68261419054168
0.8,39.39003372969538,-8.289572450066709,126.49737130852553
0.81,39.39004572258307,-8.289528831568939,126.18377281586788
0.8200000000000001,39.390028357836606,-8.289583634982531,123.26644702244089
0.8300000000000001,39.39003751506539,-8.289572173560321,123.2075142448966
0.84,39.38998866295946,-8.289590457121385,123.12619349949813
0.85,39.3900162085759,-8.289556629915921,128.5346530341378
0.86,39.39000833278261,-8.289505187742794,127.95353363590063
0.87,39.39003141231054,-8.28959229423457,124.46490445017744
0.88,39.39003565570756,-8.289537484403597,131.46550731888527
0.89,39.390017021351284,-8.289576377129897,128.66947135029142
0.9,39.390042906512434,-8.289566289414122,131.1015575030759
0.91,39.39002493921491,-8.289540168446795,131.1728084796114
0.92,39.39001687746944,-8.289549503280147,127.51632512112374
0.93,39.390033054952866,-8.289562360824458,126.61213380565157
0.9400000000000001,39.390004747613496,-8.289492126769085,134.30186748639323
0.9500000000000001,39.39004875944654,-8.289576743553283,130.22096705592304
0.96,39.39003166627183,-8.289548582736995,131.533847467629
0.97,39.39001343264886,-8.289538872821995,128.04428759807263
0.98,39.39002653055379,-8.289540355287272,131.125446035623
0.99,39.39003252780845,-8.289561220804863,136.9035874490754
1.0,39.39002294203236,-8.289526829552036,132.49231003996414
1.01,39.39007897976404,-8.289495518293938,132.09653696417482
1.02,39.39003782984537,-8.28958492318873,136.86635423994045
1.03,39.39005060222079,-8.289513213749494,138.8692843105131
1.04,39.390064039910456,-8.289540577075998,138.16565086859853
1.05,39.390011929635435,-8.28954222740712,135.2868602864627
1.06,39.39004829540637,-8.289533389788964,140.24897617940482
1.07,39.39002590560328,-8.289535373037255,139.63203240498643
1.08,39.3900560126908,-8.289564824869275,138.23985031495687
1.09,39.390030084871164,-8.289522743952004,138.2857022976483
1.1,39.39006719894768,-8.289562391358407,140.32696526605608
1.11,39.39001919836584,-8.289524856626564,138.81128456934053
1.12,39.390052812638494,-8.289514771192207,142.1073289714969
1.1300000000000001,39.39004462904987,-8.289533587042635,140.30185002010992
1.1400000000000001,39.389999989826464,-8.289552934889084,144.99923680679183
1.1500000000000001,39.3900480655488,-8.289522165373322,144.61420070523923
1.16,39.390021548635275,-8.289566885444406,143.2414346791639
1.17,39.390051324914786,-8.289573886428096,144.5928971164328
1.18,39.39003401903179,-8.28954028803386,147.02071676505008
1.19,39.39003354614853,-8.289548979733842,145.5275271210333
1.2,39.39006159327851,-8.289483201093823,150.6419758925349
1.21,39.39005056913152,-8.289504303851679,147.85506710096706
1.22,39.39004322966797,-8.28952123523161,148.43668620080413
1.23,39.39005304493273,-8.289553780583285,151.85157193369133
1.24,39.390047306001165,-8.289555173933698,149.70338351435504
