Mass (kg),Apogee (m)
18.33,3341.146114162604
18.34,3338.814193053887
18.35,3337.2318391570493
18.360000000000003,3335.2710104178013
18.370000000000005,3332.9674259010308
18.380000000000006,3331.0264838536755
18.390000000000008,3329.1882258531955
18.40000000000001,3327.596609949675
18.41000000000001,3325.2874651475354
18.420000000000012,3323.764418128006
18.430000000000014,3321.6237855935487
18.440000000000015,3319.492746882583
18.450000000000017,3317.614481495907
18.46000000000002,3315.4073846462575
18.47000000000002,3313.5783265531663
18.48000000000002,3311.564164672275
18.490000000000023,3309.640645301707
18.500000000000025,3308.1244537110374
18.510000000000026,3305.7583242366045
18.520000000000028,3303.8117570602285
18.53000000000003,3302.3212766920064
18.54000000000003,3299.9193758145207
18.550000000000033,3297.9895465280656
18.560000000000034,3296.033574110646
18.570000000000036,3294.11428754149
18.580000000000037,3292.14704955923
18.59000000000004,3290.4230923464806
18.60000000000004,3288.9442270322593
18.610000000000042,3286.5669278947985
18.620000000000044,3284.686214471029
18.630000000000045,3282.6828143446132
18.640000000000047,3280.622867915177
18.65000000000005,3278.70621538474
18.66000000000005,3277.3141418846885
18.67000000000005,3274.9915898943727
18.680000000000053,3273.423653354949
18.690000000000055,3271.508468715864
18.700000000000056,3269.07832294134
18.710000000000058,3267.233633478099
18.72000000000006,3265.746736844395
18.73000000000006,3263.429660714186
18.740000000000062,3261.420429766362
18.750000000000064,3259.489937732061
18.760000000000066,3257.5597833111624
18.770000000000067,3255.627720762334
18.78000000000007,3253.887391119952
18.79000000000007,3251.9787862278786
18.80000000000007,3249.9651006261242
18.810000000000073,3248.0050000996835
18.820000000000075,3246.23826838799
18.830000000000076,3244.660185196436
18.840000000000078,3242.8352201105336
18.85000000000008,3240.4126920810845
18.86000000000008,3238.6474608335466
18.870000000000083,3236.677489104209
18.880000000000084,3234.842347475117
18.890000000000086,3232.942544320129
18.900000000000087,3231.000238170805
18.91000000000009,3229.1364576540986
18.92000000000009,3227.2530939154226
18.930000000000092,3225.6198387579775
18.940000000000094,3223.8186350239107
18.950000000000095,3221.743477486218
18.960000000000097,3220.0104548736617
18.9700000000001,3217.985786438405
18.9800000000001,3215.784950194279
18.9900000000001,3214.2126543010118
19.000000000000103,3211.996485723155
19.010000000000105,3210.0978355781676
19.020000000000106,3208.524305458894
19.030000000000108,3206.4604988016117
19.04000000000011,3204.777855650273
19.05000000000011,3202.6994018560035
19.060000000000112,3200.6617651036545
19.070000000000114,3198.8716280743947
19.080000000000116,3196.8809448639713
19.090000000000117,3195.1274767462883
19.10000000000012,3193.111818349479
19.11000000000012,3191.503652410348
19.120000000000122,3189.3766099003046
19.130000000000123,3187.5627520741577
19.140000000000125,3185.7894084056
19.150000000000126,3183.9267924448673
19.160000000000128,3182.052040624303
19.17000000000013,3180.3487296552157
19.18000000000013,3178.5534559674884
19.190000000000133,3176.7025015614595
19.200000000000134,3174.828206390632
19.210000000000136,3172.9601212646926
19.220000000000137,3171.085622558052
19.23000000000014,3168.7681286185
19.24000000000014,3167.272713215898
19.250000000000142,3165.218494590732
19.260000000000144,3163.4980568991755
19.270000000000145,3161.708623758406
19.280000000000147,3159.980133979873
19.29000000000015,3158.0029967426444
19.30000000000015,3156.151784468474
19.31000000000015,3154.2738305431476
19.320000000000153,3152.4470241480176
19.330000000000155,3150.517271409495
19.340000000000156,3148.628480690098
19.350000000000158,3146.5774601432086
19.36000000000016,3144.8655366068433
19.37000000000016,3142.9850370861554
19.380000000000162,3140.933182704943
19.390000000000164,3139.360171879719
19.400000000000166,3137.4577078928523
19.410000000000167,3135.8050761504996
19.42000000000017,3133.8820468670992
19.43000000000017,3131.991993946603
19.440000000000172,3130.1761713266446
19.450000000000173,3128.3531519962207
19.460000000000175,3126.5245417891983
19.470000000000176,3124.6865584313437
19.480000000000178,3122.826444480314
19.49000000000018,3120.8049358239564
19.50000000000018,3118.9039219100428
19.510000000000183,3117.245119604154
19.520000000000184,3115.3337166724286
19.530000000000186,3113.476472399587
19.540000000000187,3111.5907576645113
19.55000000000019,3109.9193228922
19.56000000000019,3107.6288677363787
19.570000000000192,3106.244965489906
19.580000000000194,3104.3785708356836
19.590000000000195,3102.229523668527
19.600000000000197,3100.977997791433
19.6100000000002,3098.8791706648253
19.6200000000002,3097.231709031603
19.6300000000002,3095.282911380341
19.640000000000203,3093.636416210772
19.650000000000205,3091.4692878581845
19.660000000000206,3089.8032360235743
19.670000000000208,3088.0824020993487
19.68000000000021,3085.770015257629
19.69000000000021,3083.974284623556
19.700000000000212,3082.66282893531
19.710000000000214,3080.3304786858166
19.720000000000216,3078.7001059264176
19.730000000000217,3076.998787024269
19.74000000000022,3075.2858593725523
19.75000000000022,3072.9990160845837
19.760000000000222,3071.448451117413
19.770000000000223,3069.4015508846614
19.780000000000225,3068.0914515080294
19.790000000000227,3065.9618691072696
19.800000000000228,3064.5013732403663
19.81000000000023,3062.5149305271993
19.82000000000023,3060.3846399948366
19.830000000000233,3058.5559971631396
19.840000000000234,3056.768255297823
19.850000000000236,3055.3998688934093
19.860000000000237,3053.474701770805
19.87000000000024,3051.6916358379076
19.88000000000024,3049.5939367046567
19.890000000000242,3048.071809932691
19.900000000000244,3046.18342105212
