t,bgx,bgy,bgz
0.0,0.00098,0.00014,-0.00077
0.01,0.0009677618513536895,0.0001360663093636859,-0.0007647550791515812
0.02,0.000964341651884483,0.0001308459502962548,-0.0007669732118797391
0.03,0.0009635652684055595,0.00012303572648331553,-0.0007656808807915817
0.04,0.000955363428093632,0.00012051919019225608,-0.0007604629283221903
0.05,0.0009498352601145418,0.00012151498093545053,-0.0007561517099795507
0.06,0.0009460899167081234,0.00012163040053292085,-0.0007553640245822466
0.07,0.0009410567288392631,0.00012349340640527707,-0.0007528329505063771
0.08,0.0009334325075366547,0.00011878862869527575,-0.0007498806036016982
0.09,0.0009206109706680835,0.00011586153434748349,-0.0007500062281750637
0.1,0.0009096177978275933,9.852918430721828e-05,-0.0007466344544555026
0.11,0.0009013157262701474,9.57285889859121e-05,-0.0007445949641459959
0.12,0.0009013699504705511,9.775332456230966e-05,-0.0007399457478947138
0.13,0.0008948676850370512,9.233511324887926e-05,-0.0007361997146077458
0.14,0.0008901543263953269,8.60765795196159e-05,-0.0007294175342164451
0.15,0.0008767288629979119,8.291666094483152e-05,-0.0007292338525039201
0.16,0.0008760624529518811,7.846524254224267e-05,-0.0007194356294693459
0.17,0.0008670957459291207,7.491577206341977e-05,-0.000724996271890602
0.18,0.000862118717243395,7.750753863598449e-05,-0.0007187211220108139
0.19,0.0008584839951049132,7.702358517729223e-05,-0.0007107368469249234
0.2,0.0008474416634667934,7.5668500026703e-05,-0.0007084844228663169
0.21,0.0008469581213295872,8.30634107119994e-05,-0.0007023123722022351
0.22,0.0008412326775585295,7.380323189965371e-05,-0.0006948676293227219
0.23,0.0008281126786562611,7.509071490904189e-05,-0.0006870322943333879
0.24,0.0008207565980014151,7.418477524768664e-05,-0.0006862391106084217
0.25,0.0008239362900681556,6.803957138293317e-05,-0.0006701531936777766
0.26,0.000819665823750574,6.805181220784447e-05,-0.0006615980209979574
0.27,0.0008132366383387957,6.413028596530148e-05,-0.0006570299570539167
0.28,0.0008094700568852801,6.285570597404781e-05,-0.000662543180847699
0.29,0.0008000449962050165,6.33373913503255e-05,-0.0006562209084201368
0.3,0.000801168626861185,6.643852952977397e-05,-0.0006473156515427278
0.31,0.0007948549370846478,6.689784392276161e-05,-0.0006454592264720877
0.32,0.0007986334346522698,6.298352300440534e-05,-0.0006409919324088532
0.33,0.0007962692651340363,6.127902661026177e-05,-0.000641797452769952
0.34,0.0007961052410669242,5.827394280005362e-05,-0.0006360417924389372
0.35000000000000003,0.0007915714737847599,6.31550038657205e-05,-0.0006333816073443412
0.36,0.0007773349145633846,5.4248357445280494e-05,-0.0006329234160083283
0.37,0.0007779048919759608,5.617949963646986e-05,-0.00063290516233503
0.38,0.0007761103909444758,5.8377148922362344e-05,-0.0006189005670410335
0.39,0.0007688732083845775,6.3886471975906e-05,-0.0006176586411709909
0.4,0.0007653717343606575,6.218522806826295e-05,-0.0006138020094039864
0.41000000000000003,0.0007607397591745482,6.554595753015137e-05,-0.0006139031489022954
0.42,0.0007593192644127001,6.606012583265583e-05,-0.0006109441197287134
0.43,0.0007496895934722449,6.810778944839434e-05,-0.0006110631037569513
0.44,0.0007467252128851477,6.555292674180832e-05,-0.0006085588844302532
0.45,0.0007398565244723545,6.628541415485701e-05,-0.0005990770735344201
0.46,0.0007382476475652064,6.153808057778818e-05,-0.0005857207759875686
0.47000000000000003,0.0007352699971450822,5.5711961748352746e-05,-0.0005877455603479636
0.48,0.0007269581460981649,4.793685553439608e-05,-0.0005858240114128715
0.49,0.0007154898216901958,4.609072351344421e-05,-0.0005782324629539816
0.5,0.0007082734298191987,4.4017076276888616e-05,-0.0005715624692445708
0.51,0.0006999952559308052,4.2155255321737506e-05,-0.0005710531969881549
0.52,0.0006906190703711076,3.613524667600976e-05,-0.0005722954115534442
