t,pressure
0,99970.0
0.01,99970.0
0.02,99970.0
0.03,99970.0
0.04,99970.0
0.05,99970.0
0.06,99970.0
0.07,99970.0
0.08,99970.0
0.09,99970.0
0.1,99970.0
0.11,99970.0
0.12,99970.0
0.13,99970.0
0.14,99970.0
0.15,99970.0
0.16,99970.0
0.17,99970.0
0.18,99970.0
0.19,99970.0
0.2,99970.0
0.21,99970.0
0.22,99970.0
0.23,99970.0
0.24,99970.0
0.25,99970.0
0.26,99970.0
0.27,99970.0
0.28,99970.0
0.29,99970.0
0.3,99970.0
0.31,99970.0
0.32,99970.0
0.33,99970.0
0.34,99970.0
0.35000000000000003,99970.0
0.36,99970.0
0.37,99970.0
0.38,99970.0
0.39,99970.0
0.4,99970.0
0.41000000000000003,99970.0
0.42,99970.0
0.43,99970.0
0.44,99970.0
0.45,99970.0
0.46,99970.0
0.47000000000000003,99970.0
0.48,99970.0
0.49,99970.0
0.5,99970.0
0.51,99970.0
0.52,99970.0
0.53,99970.0
0.54,99970.0
0.55,99970.0
0.56,99970.0
0.5700000000000001,99970.0
0.58,99970.0
0.59,99970.0
0.6,99970.0
0.61,99970.0
0.62,99970.0
0.63,99970.0
0.64,99970.0
0.65,99970.0
0.66,99970.0
0.67,99970.0
0.68,99970.0
0.6900000000000001,99970.0
0.7000000000000001,99970.0
0.71,99970.0
0.72,99970.0
0.73,99970.0
0.74,99970.0
0.75,99970.0
0.76,99970.0
0.77,99970.0
0.78,99970.0
0.79,99970.0
0.8,99970.0
0.81,99970.0
0.8200000000000001,99970.0
0.8300000000000001,99970.0
0.84,99970.0
0.85,99970.0
0.86,99970.0
0.87,99970.0
0.88,99970.0
0.89,99970.0
0.9,99970.0
0.91,99970.0
0.92,99970.0
0.93,99970.0
0.9400000000000001,99970.0
0.9500000000000001,99970.0
0.96,99970.0
0.97,99970.0
0.98,99970.0
0.99,99970.0
1.0,99970.0
1.01,99970.0
1.02,99970.0
1.03,99970.0
1.04,99970.0
1.05,99970.0
1.06,99970.0
1.07,99970.0
1.08,99970.0
1.09,99970.0
1.1,99970.0
1.11,99970.0
1.12,99970.0
1.1300000000000001,99970.0
1.1400000000000001,99970.0
1.1500000000000001,99970.0
1.16,99970.0
1.17,99970.0
1.18,99970.0
1.19,99970.0
1.2,99970.0
1.21,99970.0
1.22,99970.0
1.23,99970.0
1.24,99970.0
1.25,99970.0
1.26,99970.0
1.27,99970.0
1.28,99970.0
1.29,99970.0
1.3,99970.0
1.31,99970.0
1.32,99970.0
1.33,99970.0
1.34,99970.0
1.35,99970.0
1.36,99970.0
1.37,99970.0
1.3800000000000001,99970.0
1.3900000000000001,99970.0
1.4000000000000001,99970.0
1.41,99970.0
1.42,99970.0
1.43,99970.0
1.44,99970.0
1.45,99970.0
1.46,99970.0
1.47,99970.0
1.48,99970.0
1.49,99970.0
1.5,99970.0
1.51,99970.0
1.52,99970.0
1.53,99840.0
1.54,99840.0
1.55,99840.0
1.56,99840.0
1.57,99840.0
1.58,99840.0
1.59,99840.0
1.6,99840.0
1.61,99840.0
1.62,99840.0
1.6300000000000001,99840.0
1.6400000000000001,99840.0
1.6500000000000001,99710.0
1.6600000000000001,99710.0
1.67,99710.0
1.68,99710.0
1.69,99710.0
1.7,99710.0
1.71,99710.0
1.72,99710.0
1.73,99710.0
1.74,99710.0
1.75,99710.0
1.76,99580.0
1.77,99580.0
1.78,99580.0
1.79,99580.0
1.8,99580.0
1.81,99580.0
1.82,99580.0
1.83,99580.0
1.84,99580.0
1.85,99580.0
1.86,99580.0
1.87,99450.0
1.8800000000000001,99450.0
1.8900000000000001,99450.0
1.9000000000000001,99450.0
1.9100000000000001,99450.0
1.92,99450.0
1.93,99450.0
1.94,99450.0
1.95,99450.0
1.96,99320.0
1.97,99320.0
1.98,99320.0
1.99,99320.0
2.0,99320.0
2.0100000000000002,99320.0
2.02,99320.0
2.0300000000000002,99320.0
2.04,99320.0
2.05,99320.0
2.06,99190.0
2.07,99190.0
2.08,99190.0
2.09,99190.0
2.1,99190.0
2.11,99190.0
2.12,99190.0
2.13,99190.0
2.14,99190.0
2.15,99060.0
2.16,99060.0
2.17,99060.0
2.18,99060.0
2.19,99060.0
2.2,99060.0
2.21,99060.0
2.22,99060.0
2.23,98930.0
2.24,98930.0
2.25,98930.0
2.2600000000000002,98930.0
2.27,98930.0
2.2800000000000002,98930.0
2.29,98930.0
2.3000000000000003,98930.0
2.31,98800.0
2.32,98800.0
2.33,98800.0
2.34,98800.0
2.35,98800.0
2.36,98800.0
2.37,98800.0
2.38,98800.0
2.39,98670.0
2.4,98670.0
2.41,98670.0
2.42,98670.0
2.43,98670.0
2.44,98670.0
2.45,98670.0
2.46,98670.0
2.47,98540.0
2.48,98540.0
2.49,98540.0
2.5,98540.0
2.5100000000000002,98540.0
2.52,98540.0
2.5300000000000002,98540.0
2.54,98410.0
2.5500000000000003,98410.0
2.56,98410.0
2.57,98410.0
2.58,98410.0
2.59,98410.0
2.6,98410.0
2.61,98280.0
2.62,98280.0
2.63,98280.0
2.64,98280.0
2.65,98280.0
2.66,98280.0
2.67,98280.0
2.68,98150.0
2.69,98150.0
2.7,98150.0
2.71,98150.0
2.72,98150.0
2.73,98150.0
2.74,98150.0
2.75,98020.0
2.7600000000000002,98020.0
2.77,98020.0
2.7800000000000002,98020.0
2.79,98020.0
2.8000000000000003,98020.0
2.81,98020.0
2.82,97890.0
2.83,97890.0
2.84,97890.0
2.85,97890.0
2.86,97890.0
2.87,97890.0
2.88,97890.0
2.89,97760.0
2.9,97760.0
2.91,97760.0
2.92,97760.0
2.93,97760.0
2.94,97760.0
2.95,97630.0
2.96,97630.0
2.97,97630.0
2.98,97630.0
2.99,97630.0
3.0,97630.0
3.0100000000000002,97500.0
3.02,97500.0
3.0300000000000002,97500.0
3.04,97500.0
3.0500000000000003,97500.0
3.06,97500.0
3.0700000000000003,97370.0
3.08,97370.0
3.09,97370.0
3.1,97370.0
3.11,97370.0
3.12,97370.0
3.13,97240.0
3.14,97240.0
3.15,97240.0
3.16,97240.0
3.17,97240.0
3.18,97240.0
3.19,97240.0
3.2,97110.0
3.21,97110.0
3.22,97110.0
3.23,97110.0
3.24,97110.0
3.25,96980.0
3.2600000000000002,96980.0
3.27,96980.0
3.2800000000000002,96980.0
3.29,96980.0
3.3000000000000003,96980.0
3.31,96850.0
3.3200000000000003,96850.0
3.33,96850.0
3.34,96850.0
3.35,96850.0
3.36,96850.0
3.37,96720.0
3.38,96720.0
3.39,96720.0
3.4,96720.0
3.41,96720.0
3.42,96720.0
3.43,96590.0
3.44,96590.0
3.45,96590.0
3.46,96590.0
3.47,96590.0
3.48,96460.0
3.49,96460.0
3.5,96460.0
3.5100000000000002,96460.0
3.52,96460.0
3.5300000000000002,96460.0
3.54,96330.0
3.5500000000000003,96330.0
3.56,96330.0
3.5700000000000003,96330.0
3.58,96330.0
3.59,96200.0
3.6,96200.0
3.61,96200.0
3.62,96200.0
3.63,96200.0
3.64,96200.0
3.65,96070.0
3.66,96070.0
3.67,96070.0
3.68,96070.0
3.69,96070.0
3.7,95940.0
3.71,95940.0
3.72,95940.0
3.73,95940.0
3.74,95940.0
3.75,95810.0
3.7600000000000002,95810.0
3.77,95810.0
3.7800000000000002,95810.0
3.79,95810.0
3.8000000000000003,95680.0
3.81,95680.0
3.8200000000000003,95680.0
3.83,95680.0
3.84,95680.0
3.85,95550.0
3.86,95550.0
3.87,95550.0
3.88,95550.0
3.89,95550.0
3.9,95420.0
3.91,95420.0
3.92,95420.0
3.93,95420.0
3.94,95420.0
3.95,95290.0
3.96,95290.0
3.97,95290.0
3.98,95290.0
3.99,95290.0
4.0,95160.0
4.01,95160.0
