t,Vx,Vy,Vz
0.0,0.0,0.0,0.0
0.01,-6.34683977726593e-20,0.0009560967752368357,0.009096653173110189
0.02,-9.056976485515386e-19,0.013643555399357112,0.12980975852085996
0.03,-2.760540399940665e-18,0.04158516469484978,0.3956564127956708
0.04,-5.628347025392404e-18,0.08478620273615332,0.8066868335213669
0.05,-9.099743783398284e-18,0.13707980651965343,1.3042272385423
0.06,-1.2757675720326577e-17,0.19218340219352348,1.8285029305216227
0.07,-1.660474559041597e-17,0.25013619800977044,2.3798869510585408
0.08,-2.0641039445068446e-17,0.31093949025868706,2.9583916335313396
0.09,-2.47991017110795e-17,0.37357711879954325,3.55434886001726
0.1,-2.89355049364176e-17,0.435888472537996,4.147201789120886
0.11,-3.3046944380058667e-17,0.49782376839542664,4.736476766488586
0.12,-3.7133400261692794e-17,0.5593827083984947,5.322170957093397
0.13,-4.119484919437564e-17,0.6205649402430161,5.904281008984918
0.14,-4.5231270300018196e-17,0.6813701494185535,6.482803929796218
0.15,-4.924264043283705e-17,0.7417979872538044,7.057736402141456
0.16,-5.322894195600614e-17,0.8018481880651672,7.629075898210017
0.17,-5.719015499790404e-17,0.8615204525037723,8.19681956988765
0.18,-6.112853902846059e-17,0.9208488175390316,8.761291257306265
0.19,-6.506802188226054e-17,0.980193735400523,9.325920434346399
0.2,-6.901403061123152e-17,1.0396369599536213,9.89148493707877
0.21,-7.296657264415994e-17,1.099178603106599,10.457985830239465
0.22,-7.692564738838727e-17,1.1588186559315652,11.025423028885276
0.23,-8.089125418575757e-17,1.2185571085139666,11.593796438685542
0.24,-8.486339201980108e-17,1.278393945541562,12.163105913954013
0.25,-8.88420600064301e-17,1.338329153696331,12.733351327978179
0.26,-9.282725827024987e-17,1.3983627348553456,13.304532698617189
0.27,-9.681898881140216e-17,1.4584947191490178,13.87665031254277
0.28,-1.0081724807031581e-16,1.5187250529554732,14.449703659576873
0.29,-1.0482203287078138e-16,1.5790536884278508,15.023692284487016
0.3,-1.0883334073466659e-16,1.6394805882352212,15.59861583209313
0.31,-1.1285116916940854e-16,1.7000057148292698,16.174473945146865
0.32,-1.1687551567351273e-16,1.7606290305271326,16.751266265119728
0.33,-1.2090637766406548e-16,1.821350496419445,17.328992421813833
0.34,-1.2494375123154616e-16,1.8821700536126398,17.90765185489433
0.35000000000000003,-1.2898763735078822e-16,1.943087716791745,18.48724470407991
0.36,3.789385216357024e-05,2.0062098949536655,19.06754415956583
0.37,0.00022507440030716472,2.077559836467386,19.647893895443282
0.38,0.00041640730707520417,2.1490053029536975,20.229176982175616
0.39,0.000610561967288664,2.2205456916157904,20.811393081231987
0.4,0.000806281020286177,2.2921804748413357,21.394541988902272
0.41000000000000003,0.001002148530390445,2.3639090764548083,21.978623335730138
0.42,0.0011967298866774137,2.4357309451553957,22.563636711951926
0.43,0.0013885958389521183,2.507645582743604,23.14958187815377
0.44,0.0015762051302452844,2.5796525565666126,23.736459236825695
0.45,0.001758018805776679,2.6517514727327294,24.324269210764857
0.46,0.0019324467554544943,2.723941874928868,24.913011426146724
0.47000000000000003,0.00209783555218512,2.796223313820497,25.502685376858835
